admissionid,patientid,doctorid,hospitalid,admissiondate,dischargedate,diagnosis,department,admissiondays,stay_category
ADM-005433,982-59-2152,DR-0006,HOSP-007,2023-05-24,2023-06-10,Hypertension,Cardiology,17,Long Treatment
ADM-005434,800-34-1441,DR-0292,HOSP-005,2023-10-11,2023-10-29,Lymphoma,Oncology,18,Long Treatment
ADM-005435,341-86-8881,DR-0119,HOSP-003,2024-04-16,2024-04-29,Alzheimers,Neurology,13,Medium Treatment
ADM-005436,116-71-5994,DR-0022,HOSP-007,2022-05-06,2022-05-11,Eczema,Dermatology,5,Medium Treatment
ADM-005437,162-74-7122,DR-0247,HOSP-007,2023-12-30,2024-01-14,Bronchitis,Pediatrics,15,Long Treatment
ADM-005438,607-25-7874,DR-0217,HOSP-008,2024-01-02,2024-01-26,Melanoma,Dermatology,24,Long Treatment
ADM-005439,309-31-2665,DR-0288,HOSP-001,2024-01-15,2024-01-24,Spinal Disc Herniation,Orthopedics,9,Medium Treatment
ADM-005440,229-74-2259,DR-0077,HOSP-002,2022-04-21,2022-05-03,Myocardial Infarction,Cardiology,12,Medium Treatment
ADM-005441,244-78-4053,DR-0052,HOSP-005,2023-01-04,2023-01-19,Schizophrenia,Psychiatry,15,Long Treatment
ADM-005442,439-60-7836,DR-0309,HOSP-002,2022-08-08,2022-08-24,Pneumonia,General Medicine,16,Long Treatment
ADM-005443,916-89-1980,DR-0157,HOSP-005,2023-09-07,2023-09-24,Anxiety Disorder,Psychiatry,17,Long Treatment
ADM-005444,380-67-3253,DR-0316,HOSP-002,2022-10-28,2022-11-15,Stroke,Neurology,18,Long Treatment
ADM-005445,156-95-5596,DR-0031,HOSP-002,2022-08-09,2022-08-14,Fracture,Orthopedics,5,Medium Treatment
ADM-005446,971-82-1530,DR-0158,HOSP-001,2023-06-02,2023-06-03,Viral Fever,General Medicine,1,Short Treatment
ADM-005447,803-95-4840,DR-0078,HOSP-007,2022-07-05,2022-07-25,Melanoma,Dermatology,20,Long Treatment
ADM-005448,204-99-5941,DR-0151,HOSP-001,2022-12-27,2023-01-13,Schizophrenia,Psychiatry,17,Long Treatment
ADM-005449,215-72-1970,DR-0028,HOSP-010,2023-11-15,2023-11-24,Endometriosis,Gynecology,9,Medium Treatment
ADM-005450,970-48-8496,DR-0249,HOSP-007,2023-04-04,2023-04-11,Pneumonia,General Medicine,7,Medium Treatment
ADM-005451,727-53-8449,DR-0168,HOSP-003,2022-06-20,2022-07-03,Hypertension,Cardiology,13,Medium Treatment
ADM-005452,653-42-3858,DR-0288,HOSP-001,2022-02-05,2022-02-20,Fracture,Orthopedics,15,Long Treatment
ADM-005453,286-54-9711,DR-0237,HOSP-003,2023-12-16,2024-01-09,Schizophrenia,Psychiatry,24,Long Treatment
ADM-005454,605-62-2986,DR-0346,HOSP-005,2024-05-21,2024-06-11,Pregnancy,Gynecology,21,Long Treatment
ADM-005455,592-92-4697,DR-0196,HOSP-005,2022-07-22,2022-07-26,Leukemia,Oncology,4,Short Treatment
ADM-005456,863-72-5839,DR-0279,HOSP-010,2022-09-29,2022-10-13,Spinal Disc Herniation,Orthopedics,14,Medium Treatment
ADM-005457,567-21-4957,DR-0142,HOSP-010,2022-05-27,2022-06-12,Spinal Disc Herniation,Orthopedics,16,Long Treatment
ADM-005458,327-99-5676,DR-0097,HOSP-005,2022-02-26,2022-03-22,Hypertension,Cardiology,24,Long Treatment
ADM-005459,628-75-2291,DR-0202,HOSP-005,2022-12-31,2023-01-14,Spinal Disc Herniation,Orthopedics,14,Medium Treatment
ADM-005460,147-96-3371,DR-0122,HOSP-002,2022-11-25,2022-12-04,Chickenpox,Pediatrics,9,Medium Treatment
ADM-005461,450-74-2633,DR-0329,HOSP-008,2022-03-10,2022-03-31,Anxiety Disorder,Psychiatry,21,Long Treatment
ADM-005462,329-67-3549,DR-0264,HOSP-009,2023-08-12,2023-08-14,Lung Cancer,Oncology,2,Short Treatment
ADM-005463,253-75-4458,DR-0205,HOSP-005,2023-06-25,2023-07-01,Food Poisoning,General Medicine,6,Medium Treatment
ADM-005464,551-68-8681,DR-0185,HOSP-004,2022-11-23,2022-11-27,Chickenpox,Pediatrics,4,Short Treatment
ADM-005465,228-29-8499,DR-0176,HOSP-002,2024-02-14,2024-03-04,Melanoma,Dermatology,19,Long Treatment
ADM-005466,984-50-1591,DR-0002,HOSP-004,2023-04-07,2023-04-13,Parkinsons,Neurology,6,Medium Treatment
ADM-005467,370-27-7690,DR-0290,HOSP-007,2023-08-20,2023-08-25,Acne Vulgaris,Dermatology,5,Medium Treatment
ADM-005468,220-60-1427,DR-0054,HOSP-007,2024-02-29,2024-03-08,Diabetes,General Medicine,8,Medium Treatment
ADM-005469,776-10-1817,DR-0308,HOSP-005,2023-04-06,2023-04-08,Stroke,Neurology,2,Short Treatment
ADM-005470,902-41-6635,DR-0229,HOSP-001,2023-09-06,2023-09-18,Fracture,Orthopedics,12,Medium Treatment
ADM-005471,297-77-5795,DR-0140,HOSP-003,2022-03-13,2022-03-20,Tonsillitis,Pediatrics,7,Medium Treatment
ADM-005472,701-12-5541,DR-0055,HOSP-001,2024-04-17,2024-04-20,Arthritis,Orthopedics,3,Short Treatment
ADM-005473,385-41-8032,DR-0069,HOSP-009,2024-05-08,2024-05-13,Chickenpox,Pediatrics,5,Medium Treatment
ADM-005474,770-31-4811,DR-0046,HOSP-010,2023-03-27,2023-04-20,Lymphoma,Oncology,24,Long Treatment
ADM-005475,867-10-1424,DR-0161,HOSP-006,2022-04-12,2022-04-24,Schizophrenia,Psychiatry,12,Medium Treatment
ADM-005476,168-42-8415,DR-0086,HOSP-007,2024-03-08,2024-03-13,Schizophrenia,Psychiatry,5,Medium Treatment
ADM-005477,820-87-3835,DR-0284,HOSP-005,2023-12-16,2023-12-19,Viral Fever,General Medicine,3,Short Treatment
ADM-005478,107-90-5610,DR-0121,HOSP-008,2023-07-09,2023-08-03,Acne Vulgaris,Dermatology,25,Long Treatment
ADM-005479,137-84-7318,DR-0011,HOSP-001,2023-12-11,2023-12-21,Anxiety Disorder,Psychiatry,10,Medium Treatment
ADM-005480,867-49-6333,DR-0183,HOSP-002,2022-06-11,2022-06-19,Leukemia,Oncology,8,Medium Treatment
ADM-005481,350-15-7590,DR-0165,HOSP-007,2023-07-28,2023-08-08,Ovarian Cyst,Gynecology,11,Medium Treatment
ADM-005482,691-23-9796,DR-0279,HOSP-010,2022-03-31,2022-04-23,Arthritis,Orthopedics,23,Long Treatment
ADM-005483,777-57-2129,DR-0295,HOSP-003,2022-06-25,2022-07-15,Ligament Tear,Orthopedics,20,Long Treatment
ADM-005484,575-86-9323,DR-0215,HOSP-009,2022-12-26,2023-01-11,Viral Fever,General Medicine,16,Long Treatment
ADM-005485,469-41-7250,DR-0077,HOSP-002,2022-07-24,2022-08-03,Heart Failure,Cardiology,10,Medium Treatment
ADM-005486,985-18-5573,DR-0057,HOSP-010,2023-09-30,2023-10-15,Pregnancy,Gynecology,15,Long Treatment
ADM-005487,184-94-7251,DR-0334,HOSP-008,2024-01-17,2024-02-04,Leukemia,Oncology,18,Long Treatment
ADM-005488,366-61-4286,DR-0225,HOSP-008,2022-10-02,2022-10-20,Measles,Pediatrics,18,Long Treatment
ADM-005489,866-51-2512,DR-0273,HOSP-003,2022-11-12,2022-11-20,PCOS,Gynecology,8,Medium Treatment
ADM-005490,108-45-9647,DR-0015,HOSP-005,2022-05-29,2022-06-19,Acne Vulgaris,Dermatology,21,Long Treatment
ADM-005491,834-95-4016,DR-0071,HOSP-010,2023-10-31,2023-11-09,Tonsillitis,Pediatrics,9,Medium Treatment
ADM-005492,934-41-2507,DR-0294,HOSP-008,2024-05-14,2024-06-07,Asthma,Pediatrics,24,Long Treatment
ADM-005493,233-19-1966,DR-0241,HOSP-006,2023-07-29,2023-08-13,Migraine,Neurology,15,Long Treatment
ADM-005494,411-82-7664,DR-0350,HOSP-009,2022-04-29,2022-05-15,Tonsillitis,Pediatrics,16,Long Treatment
ADM-005495,464-70-7626,DR-0323,HOSP-006,2024-02-25,2024-03-07,Arrhythmia,Cardiology,11,Medium Treatment
ADM-005496,151-51-8140,DR-0065,HOSP-007,2023-08-30,2023-09-15,Lymphoma,Oncology,16,Long Treatment
ADM-005497,787-93-4842,DR-0259,HOSP-004,2022-10-25,2022-10-31,Dengue,General Medicine,6,Medium Treatment
ADM-005498,440-17-5462,DR-0228,HOSP-003,2022-09-17,2022-10-08,Food Poisoning,General Medicine,21,Long Treatment
ADM-005499,183-93-2270,DR-0078,HOSP-007,2023-07-18,2023-07-29,Eczema,Dermatology,11,Medium Treatment
ADM-005500,844-80-9015,DR-0150,HOSP-004,2023-08-28,2023-09-02,Lymphoma,Oncology,5,Medium Treatment
ADM-005501,197-85-7408,DR-0150,HOSP-004,2022-03-09,2022-03-25,Breast Cancer,Oncology,16,Long Treatment
ADM-005502,148-86-2742,DR-0348,HOSP-004,2023-12-04,2023-12-22,Ligament Tear,Orthopedics,18,Long Treatment
ADM-005503,545-30-8984,DR-0005,HOSP-010,2024-05-02,2024-05-22,Migraine,Neurology,20,Long Treatment
ADM-005504,759-61-1949,DR-0341,HOSP-001,2023-04-07,2023-04-30,Measles,Pediatrics,23,Long Treatment
ADM-005505,461-35-8019,DR-0087,HOSP-008,2022-06-14,2022-07-06,Parkinsons,Neurology,22,Long Treatment
ADM-005506,615-47-6570,DR-0323,HOSP-006,2022-02-21,2022-03-14,Heart Failure,Cardiology,21,Long Treatment
ADM-005507,729-15-9543,DR-0131,HOSP-007,2022-08-18,2022-09-07,Stroke,Neurology,20,Long Treatment
ADM-005508,404-40-2571,DR-0009,HOSP-005,2023-02-06,2023-02-10,Eczema,Dermatology,4,Short Treatment
ADM-005509,257-91-8531,DR-0154,HOSP-003,2022-05-22,2022-06-08,Leukemia,Oncology,17,Long Treatment
ADM-005510,227-49-6259,DR-0314,HOSP-003,2022-04-21,2022-04-25,Heart Failure,Cardiology,4,Short Treatment
ADM-005511,308-12-4571,DR-0169,HOSP-001,2023-05-17,2023-05-19,Hypertension,Cardiology,2,Short Treatment
ADM-005512,757-70-4650,DR-0160,HOSP-005,2022-01-21,2022-01-31,Ligament Tear,Orthopedics,10,Medium Treatment
ADM-005513,370-90-5470,DR-0147,HOSP-010,2023-07-12,2023-08-02,PCOS,Gynecology,21,Long Treatment
ADM-005514,919-70-7654,DR-0221,HOSP-005,2022-08-24,2022-09-09,Melanoma,Dermatology,16,Long Treatment
ADM-005515,804-19-5807,DR-0086,HOSP-007,2023-06-07,2023-06-09,Schizophrenia,Psychiatry,2,Short Treatment
ADM-005516,404-14-8368,DR-0071,HOSP-010,2022-05-19,2022-05-23,Bronchitis,Pediatrics,4,Short Treatment
ADM-005517,410-94-6125,DR-0349,HOSP-003,2024-01-16,2024-01-17,Psoriasis,Dermatology,1,Short Treatment
ADM-005518,677-33-3686,DR-0014,HOSP-008,2022-02-17,2022-03-05,Anxiety Disorder,Psychiatry,16,Long Treatment
ADM-005519,339-49-4692,DR-0017,HOSP-003,2023-08-02,2023-08-18,Leukemia,Oncology,16,Long Treatment
ADM-005520,407-66-6257,DR-0231,HOSP-001,2023-10-06,2023-10-09,Bronchitis,Pediatrics,3,Short Treatment
ADM-005521,162-10-9421,DR-0140,HOSP-003,2023-11-27,2023-12-05,Asthma,Pediatrics,8,Medium Treatment
ADM-005522,181-10-7663,DR-0219,HOSP-010,2023-03-10,2023-03-15,Endometriosis,Gynecology,5,Medium Treatment
ADM-005523,537-79-7815,DR-0137,HOSP-010,2023-06-11,2023-06-14,Depression,Psychiatry,3,Short Treatment
ADM-005524,162-74-7122,DR-0141,HOSP-007,2024-04-30,2024-05-15,Lymphoma,Oncology,15,Long Treatment
ADM-005525,107-85-8715,DR-0161,HOSP-006,2022-04-25,2022-05-14,Bipolar Disorder,Psychiatry,19,Long Treatment
ADM-005526,692-76-2993,DR-0197,HOSP-005,2023-11-04,2023-11-20,Alzheimers,Neurology,16,Long Treatment
ADM-005527,970-36-3289,DR-0343,HOSP-010,2023-05-17,2023-06-10,Endometriosis,Gynecology,24,Long Treatment
ADM-005528,397-30-3482,DR-0167,HOSP-002,2022-03-09,2022-03-31,Acne Vulgaris,Dermatology,22,Long Treatment
ADM-005529,265-89-2822,DR-0163,HOSP-007,2023-01-29,2023-01-31,Food Poisoning,General Medicine,2,Short Treatment
ADM-005530,254-14-2537,DR-0271,HOSP-010,2022-09-30,2022-10-18,Measles,Pediatrics,18,Long Treatment
ADM-005531,413-90-6316,DR-0293,HOSP-003,2023-07-17,2023-08-08,Melanoma,Dermatology,22,Long Treatment
ADM-005532,440-41-2097,DR-0272,HOSP-009,2024-03-16,2024-04-06,Spinal Disc Herniation,Orthopedics,21,Long Treatment
ADM-005533,231-67-3916,DR-0304,HOSP-005,2022-09-30,2022-10-22,Anxiety Disorder,Psychiatry,22,Long Treatment
ADM-005534,664-58-2875,DR-0133,HOSP-006,2022-10-21,2022-11-01,Stroke,Neurology,11,Medium Treatment
ADM-005535,850-90-3111,DR-0232,HOSP-003,2022-10-07,2022-10-31,PCOS,Gynecology,24,Long Treatment
ADM-005536,438-68-1866,DR-0016,HOSP-008,2022-10-26,2022-11-07,Migraine,Neurology,12,Medium Treatment
ADM-005537,942-56-8443,DR-0177,HOSP-008,2023-05-30,2023-06-13,Spinal Disc Herniation,Orthopedics,14,Medium Treatment
ADM-005538,689-98-8679,DR-0004,HOSP-010,2022-11-20,2022-11-24,Lung Cancer,Oncology,4,Short Treatment
ADM-005539,751-13-4673,DR-0137,HOSP-010,2023-03-03,2023-03-14,Anxiety Disorder,Psychiatry,11,Medium Treatment
ADM-005540,602-51-3265,DR-0123,HOSP-003,2023-05-21,2023-06-04,Myocardial Infarction,Cardiology,14,Medium Treatment
ADM-005541,923-53-7698,DR-0141,HOSP-007,2023-04-01,2023-04-09,Leukemia,Oncology,8,Medium Treatment
ADM-005542,739-54-3628,DR-0068,HOSP-003,2022-12-18,2022-12-30,Ovarian Cyst,Gynecology,12,Medium Treatment
ADM-005543,795-86-1857,DR-0115,HOSP-007,2022-11-20,2022-11-29,Leukemia,Oncology,9,Medium Treatment
ADM-005544,102-72-5609,DR-0047,HOSP-005,2023-12-13,2023-12-28,Parkinsons,Neurology,15,Long Treatment
ADM-005545,427-72-6147,DR-0306,HOSP-003,2022-08-06,2022-08-12,Heart Failure,Cardiology,6,Medium Treatment
ADM-005546,497-45-4677,DR-0093,HOSP-006,2022-03-22,2022-03-27,PCOS,Gynecology,5,Medium Treatment
ADM-005547,254-98-5976,DR-0095,HOSP-007,2023-07-06,2023-07-10,Tonsillitis,Pediatrics,4,Short Treatment
ADM-005548,154-72-6010,DR-0127,HOSP-005,2023-02-27,2023-03-16,Schizophrenia,Psychiatry,17,Long Treatment
ADM-005549,942-18-6475,DR-0130,HOSP-006,2022-01-25,2022-02-07,Arrhythmia,Cardiology,13,Medium Treatment
ADM-005550,223-30-1500,DR-0095,HOSP-007,2022-11-02,2022-11-13,Tonsillitis,Pediatrics,11,Medium Treatment
ADM-005551,455-77-8209,DR-0180,HOSP-006,2023-11-23,2023-12-04,Myocardial Infarction,Cardiology,11,Medium Treatment
ADM-005552,757-66-3849,DR-0333,HOSP-010,2024-02-04,2024-02-27,Bipolar Disorder,Psychiatry,23,Long Treatment
ADM-005553,953-69-9177,DR-0223,HOSP-007,2023-05-12,2023-05-15,Stroke,Neurology,3,Short Treatment
ADM-005554,108-95-5905,DR-0280,HOSP-008,2022-10-23,2022-11-04,Bronchitis,Pediatrics,12,Medium Treatment
ADM-005555,594-17-7280,DR-0139,HOSP-008,2023-06-01,2023-06-25,Arthritis,Orthopedics,24,Long Treatment
ADM-005556,947-58-3700,DR-0175,HOSP-005,2023-03-21,2023-04-13,Arrhythmia,Cardiology,23,Long Treatment
ADM-005557,954-70-6592,DR-0206,HOSP-006,2022-11-06,2022-11-12,Schizophrenia,Psychiatry,6,Medium Treatment
ADM-005558,292-42-2528,DR-0088,HOSP-004,2022-07-07,2022-07-14,Schizophrenia,Psychiatry,7,Medium Treatment
ADM-005559,970-62-2218,DR-0042,HOSP-009,2023-09-24,2023-09-30,Lymphoma,Oncology,6,Medium Treatment
ADM-005560,681-89-7344,DR-0124,HOSP-003,2022-01-12,2022-01-13,Melanoma,Dermatology,1,Short Treatment
ADM-005561,733-21-9240,DR-0199,HOSP-003,2022-05-19,2022-05-31,Leukemia,Oncology,12,Medium Treatment
ADM-005562,368-30-1235,DR-0338,HOSP-006,2024-03-26,2024-04-02,Lymphoma,Oncology,7,Medium Treatment
ADM-005563,508-10-5297,DR-0091,HOSP-002,2022-07-06,2022-07-22,Migraine,Neurology,16,Long Treatment
ADM-005564,215-21-4847,DR-0218,HOSP-002,2022-12-02,2022-12-20,Ligament Tear,Orthopedics,18,Long Treatment
ADM-005565,933-73-5341,DR-0143,HOSP-004,2022-05-01,2022-05-18,Chickenpox,Pediatrics,17,Long Treatment
ADM-005566,426-85-6922,DR-0291,HOSP-005,2022-04-11,2022-04-14,Melanoma,Dermatology,3,Short Treatment
ADM-005567,464-36-9015,DR-0083,HOSP-005,2022-01-11,2022-02-03,Tonsillitis,Pediatrics,23,Long Treatment
ADM-005568,835-63-8414,DR-0184,HOSP-009,2022-10-07,2022-10-31,Lymphoma,Oncology,24,Long Treatment
ADM-005569,712-87-2886,DR-0315,HOSP-008,2022-09-22,2022-09-27,Lymphoma,Oncology,5,Medium Treatment
ADM-005570,728-92-2740,DR-0038,HOSP-003,2022-04-27,2022-05-09,Melanoma,Dermatology,12,Medium Treatment
ADM-005571,926-36-2879,DR-0254,HOSP-009,2023-04-24,2023-04-28,Diabetes,General Medicine,4,Short Treatment
ADM-005572,538-52-4504,DR-0092,HOSP-009,2022-03-12,2022-04-06,PCOS,Gynecology,25,Long Treatment
ADM-005573,377-35-3532,DR-0239,HOSP-003,2022-05-09,2022-05-25,Measles,Pediatrics,16,Long Treatment
ADM-005574,542-99-3286,DR-0260,HOSP-001,2023-04-11,2023-05-02,Chickenpox,Pediatrics,21,Long Treatment
ADM-005575,945-11-3273,DR-0180,HOSP-006,2022-09-04,2022-09-27,Arrhythmia,Cardiology,23,Long Treatment
ADM-005576,377-15-2704,DR-0292,HOSP-005,2022-02-03,2022-02-04,Lymphoma,Oncology,1,Short Treatment
ADM-005577,908-62-1206,DR-0169,HOSP-001,2022-04-08,2022-04-12,Coronary Artery Disease,Cardiology,4,Short Treatment
ADM-005578,547-29-2293,DR-0079,HOSP-010,2024-03-18,2024-03-26,Lymphoma,Oncology,8,Medium Treatment
ADM-005579,992-49-6500,DR-0197,HOSP-005,2023-07-21,2023-08-10,Epilepsy,Neurology,20,Long Treatment
ADM-005580,985-42-4369,DR-0128,HOSP-009,2022-06-09,2022-06-29,Food Poisoning,General Medicine,20,Long Treatment
ADM-005581,117-73-7449,DR-0216,HOSP-001,2024-03-07,2024-03-17,Tonsillitis,Pediatrics,10,Medium Treatment
ADM-005582,232-87-8307,DR-0138,HOSP-010,2022-01-11,2022-01-17,Arrhythmia,Cardiology,6,Medium Treatment
ADM-005583,874-66-6569,DR-0116,HOSP-006,2022-08-25,2022-09-15,Melanoma,Dermatology,21,Long Treatment
ADM-005584,936-66-8252,DR-0098,HOSP-001,2022-06-13,2022-06-21,Spinal Disc Herniation,Orthopedics,8,Medium Treatment
ADM-005585,553-60-4540,DR-0330,HOSP-006,2023-06-13,2023-07-04,Hypertension,Cardiology,21,Long Treatment
ADM-005586,503-49-2445,DR-0030,HOSP-007,2023-11-29,2023-12-11,Tonsillitis,Pediatrics,12,Medium Treatment
ADM-005587,795-63-2454,DR-0049,HOSP-008,2023-03-20,2023-03-28,Anxiety Disorder,Psychiatry,8,Medium Treatment
ADM-005588,479-98-3294,DR-0176,HOSP-002,2023-11-13,2023-12-04,Melanoma,Dermatology,21,Long Treatment
ADM-005589,263-55-3516,DR-0209,HOSP-005,2023-02-05,2023-02-07,Myocardial Infarction,Cardiology,2,Short Treatment
ADM-005590,457-37-8222,DR-0245,HOSP-007,2022-10-23,2022-11-11,Heart Failure,Cardiology,19,Long Treatment
ADM-005591,977-72-7419,DR-0066,HOSP-008,2023-02-07,2023-03-03,Depression,Psychiatry,24,Long Treatment
ADM-005592,474-67-3624,DR-0046,HOSP-010,2022-11-21,2022-12-02,Breast Cancer,Oncology,11,Medium Treatment
ADM-005593,320-50-9254,DR-0061,HOSP-007,2023-03-23,2023-03-27,Chickenpox,Pediatrics,4,Short Treatment
ADM-005594,448-50-9995,DR-0118,HOSP-005,2024-03-21,2024-04-10,Myocardial Infarction,Cardiology,20,Long Treatment
ADM-005595,644-30-9413,DR-0089,HOSP-007,2024-02-10,2024-03-04,Eczema,Dermatology,23,Long Treatment
ADM-005596,406-39-3913,DR-0288,HOSP-001,2024-03-24,2024-04-15,Spinal Disc Herniation,Orthopedics,22,Long Treatment
ADM-005597,129-20-8540,DR-0240,HOSP-004,2023-04-29,2023-05-20,Measles,Pediatrics,21,Long Treatment
ADM-005598,711-15-9251,DR-0134,HOSP-004,2024-02-23,2024-02-27,Leukemia,Oncology,4,Short Treatment
ADM-005599,690-15-3870,DR-0305,HOSP-010,2022-10-25,2022-10-31,Schizophrenia,Psychiatry,6,Medium Treatment
ADM-005600,542-51-1000,DR-0230,HOSP-010,2024-03-22,2024-03-27,Breast Cancer,Oncology,5,Medium Treatment
ADM-005601,732-35-3571,DR-0094,HOSP-009,2023-07-24,2023-08-02,Ligament Tear,Orthopedics,9,Medium Treatment
ADM-005602,945-19-7108,DR-0250,HOSP-008,2023-01-19,2023-02-05,Parkinsons,Neurology,17,Long Treatment
ADM-005603,177-56-9187,DR-0132,HOSP-001,2023-08-19,2023-08-26,Diabetes,General Medicine,7,Medium Treatment
ADM-005604,441-23-3262,DR-0088,HOSP-004,2022-09-08,2022-09-19,Bipolar Disorder,Psychiatry,11,Medium Treatment
ADM-005605,674-93-8824,DR-0033,HOSP-005,2022-04-05,2022-04-20,Food Poisoning,General Medicine,15,Long Treatment
ADM-005606,940-61-4395,DR-0212,HOSP-008,2023-07-15,2023-08-07,Schizophrenia,Psychiatry,23,Long Treatment
ADM-005607,549-80-7182,DR-0335,HOSP-007,2022-07-16,2022-08-02,Schizophrenia,Psychiatry,17,Long Treatment
ADM-005608,217-56-1451,DR-0104,HOSP-001,2023-08-28,2023-09-17,Schizophrenia,Psychiatry,20,Long Treatment
ADM-005609,577-48-9530,DR-0116,HOSP-006,2022-01-23,2022-02-09,Melanoma,Dermatology,17,Long Treatment
ADM-005610,412-70-4207,DR-0181,HOSP-010,2024-01-29,2024-02-13,Myocardial Infarction,Cardiology,15,Long Treatment
ADM-005611,647-27-3633,DR-0180,HOSP-006,2022-06-01,2022-06-17,Coronary Artery Disease,Cardiology,16,Long Treatment
ADM-005612,264-88-5658,DR-0271,HOSP-010,2023-04-09,2023-04-14,Tonsillitis,Pediatrics,5,Medium Treatment
ADM-005613,776-76-6929,DR-0185,HOSP-004,2022-01-25,2022-02-14,Chickenpox,Pediatrics,20,Long Treatment
ADM-005614,400-10-8827,DR-0257,HOSP-008,2023-05-25,2023-06-09,Eczema,Dermatology,15,Long Treatment
ADM-005615,416-95-3877,DR-0144,HOSP-003,2022-11-01,2022-11-02,Viral Fever,General Medicine,1,Short Treatment
ADM-005616,556-57-7408,DR-0184,HOSP-009,2024-05-29,2024-06-20,Breast Cancer,Oncology,22,Long Treatment
ADM-005617,251-73-6184,DR-0036,HOSP-002,2024-03-24,2024-04-06,Hypertension,Cardiology,13,Medium Treatment
ADM-005618,619-68-1586,DR-0073,HOSP-006,2022-02-23,2022-03-12,Ligament Tear,Orthopedics,17,Long Treatment
ADM-005619,170-80-4394,DR-0209,HOSP-005,2023-09-08,2023-09-26,Heart Failure,Cardiology,18,Long Treatment
ADM-005620,951-36-4871,DR-0166,HOSP-010,2023-05-01,2023-05-09,Acne Vulgaris,Dermatology,8,Medium Treatment
ADM-005621,661-29-5485,DR-0172,HOSP-005,2022-04-23,2022-05-10,Dengue,General Medicine,17,Long Treatment
ADM-005622,924-50-9516,DR-0056,HOSP-007,2022-12-12,2022-12-27,Epilepsy,Neurology,15,Long Treatment
ADM-005623,989-38-5483,DR-0232,HOSP-003,2022-06-02,2022-06-11,Endometriosis,Gynecology,9,Medium Treatment
ADM-005624,268-92-9693,DR-0010,HOSP-007,2022-06-15,2022-06-19,Alzheimers,Neurology,4,Short Treatment
ADM-005625,409-80-9509,DR-0328,HOSP-003,2022-10-27,2022-11-02,Stroke,Neurology,6,Medium Treatment
ADM-005626,410-94-6125,DR-0241,HOSP-006,2023-12-11,2023-12-14,Stroke,Neurology,3,Short Treatment
ADM-005627,252-81-1894,DR-0027,HOSP-004,2024-01-23,2024-02-09,Viral Fever,General Medicine,17,Long Treatment
ADM-005628,613-77-3010,DR-0222,HOSP-003,2023-06-22,2023-06-28,Breast Cancer,Oncology,6,Medium Treatment
ADM-005629,961-50-1957,DR-0210,HOSP-004,2022-09-16,2022-10-07,Melanoma,Dermatology,21,Long Treatment
ADM-005630,133-29-5015,DR-0136,HOSP-006,2022-05-17,2022-05-20,Pregnancy,Gynecology,3,Short Treatment
ADM-005631,877-72-6243,DR-0062,HOSP-001,2023-10-29,2023-11-03,Eczema,Dermatology,5,Medium Treatment
ADM-005632,369-38-4293,DR-0145,HOSP-003,2024-04-05,2024-04-28,Measles,Pediatrics,23,Long Treatment
ADM-005633,655-53-9856,DR-0042,HOSP-009,2023-08-14,2023-08-24,Lymphoma,Oncology,10,Medium Treatment
ADM-005634,244-36-8869,DR-0247,HOSP-007,2022-09-09,2022-09-16,Chickenpox,Pediatrics,7,Medium Treatment
ADM-005635,400-45-7199,DR-0252,HOSP-003,2023-07-30,2023-08-03,PCOS,Gynecology,4,Short Treatment
ADM-005636,683-82-7656,DR-0016,HOSP-008,2023-08-06,2023-08-28,Parkinsons,Neurology,22,Long Treatment
ADM-005637,694-91-5798,DR-0231,HOSP-001,2022-09-16,2022-09-21,Bronchitis,Pediatrics,5,Medium Treatment
ADM-005638,244-34-5836,DR-0221,HOSP-005,2023-03-07,2023-03-26,Eczema,Dermatology,19,Long Treatment
ADM-005639,483-20-9778,DR-0154,HOSP-003,2022-04-14,2022-04-29,Lymphoma,Oncology,15,Long Treatment
ADM-005640,431-91-4354,DR-0142,HOSP-010,2022-01-27,2022-02-09,Fracture,Orthopedics,13,Medium Treatment
ADM-005641,483-99-9776,DR-0161,HOSP-006,2023-12-09,2023-12-20,Anxiety Disorder,Psychiatry,11,Medium Treatment
ADM-005642,828-93-1612,DR-0231,HOSP-001,2022-07-21,2022-08-05,Asthma,Pediatrics,15,Long Treatment
ADM-005643,384-27-5430,DR-0132,HOSP-001,2023-12-03,2023-12-07,Dengue,General Medicine,4,Short Treatment
ADM-005644,684-77-2261,DR-0217,HOSP-008,2023-10-11,2023-10-19,Acne Vulgaris,Dermatology,8,Medium Treatment
ADM-005645,620-92-6983,DR-0159,HOSP-006,2022-08-21,2022-09-10,Dengue,General Medicine,20,Long Treatment
ADM-005646,620-32-7316,DR-0222,HOSP-003,2023-06-20,2023-07-13,Lymphoma,Oncology,23,Long Treatment
ADM-005647,642-71-2814,DR-0061,HOSP-007,2024-01-23,2024-02-03,Asthma,Pediatrics,11,Medium Treatment
ADM-005648,463-42-4448,DR-0340,HOSP-006,2022-09-23,2022-10-14,Chickenpox,Pediatrics,21,Long Treatment
ADM-005649,649-74-3561,DR-0228,HOSP-003,2023-02-22,2023-03-03,Food Poisoning,General Medicine,9,Medium Treatment
ADM-005650,621-67-5622,DR-0039,HOSP-005,2022-07-08,2022-07-27,PCOS,Gynecology,19,Long Treatment
ADM-005651,356-23-9243,DR-0283,HOSP-002,2024-01-01,2024-01-24,Depression,Psychiatry,23,Long Treatment
